11:07:40.567 [main] INFO  o.s.boot.StartupInfoLogger.logStarting   50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 1213199 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/QA362/MS00D363/target/MS00D363-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/QA362/MS00D363)
11:07:40.575 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo  654 - No active profile set, falling back to 1 default profile: "default"
11:07:42.871 [main] INFO  o.s.boot.StartupInfoLogger.logStarted   56 - Started CFApplication in 3.379 seconds (process running for 4.079)
11:07:42.884 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo  107 - CFDataConnectIO version : 5.0.0.21
11:07:42.944 [main] INFO  c.c.a.u.d.plus.CFDcioConfiguration.cfDataConnectIOPlusInfo   28 - CFDataConnectIOPlus version : 5.0.0.21
11:07:42.965 [main] INFO  o.s.j.d.e.EmbeddedDatabaseFactory.initDatabase  189 - Starting embedded database: url='jdbc:h2:mem:testdb;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
11:07:43.792 [main] INFO  o.s.b.a.b.JobLauncherApplicationRunner.run  168 - Running default command line with: []
11:07:43.846 [main] INFO  o.s.b.c.l.s.SimpleJobLauncher$1.run  154 - Job: [SimpleJob: [name=MS00D363]] launched with the following parameters: [{}]
11:07:43.890 [main] INFO  o.s.batch.core.job.SimpleStepHandler.handleStep  150 - Executing step: [step050]
11:07:44.249 [main] INFO  com.cloudframe.app.process.Ms00d363.process  398 - ***************************************
11:07:44.249 [main] INFO  com.cloudframe.app.process.Ms00d363.process  400 - * PROGRAM NAME : MS00D363             *
11:07:44.250 [main] INFO  com.cloudframe.app.process.Ms00d363.process  402 - * RELEASE NBR  : 2022.Q1E             *
11:07:44.250 [main] INFO  com.cloudframe.app.process.Ms00d363.process  404 - * COMPILED ON  : 11/23/22 12.00.56    *
11:07:44.250 [main] INFO  com.cloudframe.app.process.Ms00d363.process  406 - * CURRENT DATE : 11/15/22             *
11:07:44.251 [main] INFO  com.cloudframe.app.process.Ms00d363.process  408 - *       & TIME : 112233               *
11:07:44.251 [main] INFO  com.cloudframe.app.process.Ms00d363.process  410 - ***************************************
11:07:44.287 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 008 Lek                           
11:07:44.288 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 012 Algerian Dinar                
